"endpoint","path","backend","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"account-statement-v2","/v2/account-statement","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141607_670.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141607_670.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v2","/v2/account-statement","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_884.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run1__20260204_141607_884.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-statement-v2","/v2/account-statement","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141608_085.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-statement-v2____run2__20260204_141608_085.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","default","1","https://pdf-generator.dev.lunupay.com/v1/account-invoice",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141608_311.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141608_311.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","default","2","https://pdf-generator.dev.lunupay.com/v1/account-invoice",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141608_566.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141608_566.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141608_783.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141608_783.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141609_002.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141609_002.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141609_208.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run1__20260204_141609_208.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"account-invoice","/v1/account-invoice","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141609_437.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\account-invoice____run2__20260204_141609_437.headers.txt","curl: (3) URL rejected: Malformed input to a URL function"
"health","/v1/health","default","1","https://pdf-generator.dev.lunupay.com/v1/health",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141609_644.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141609_644.headers.txt","curl: (2) no URL specified"
"health","/v1/health","default","2","https://pdf-generator.dev.lunupay.com/v1/health",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141609_858.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141609_858.headers.txt","curl: (2) no URL specified"
"health","/v1/health","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141610_077.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141610_077.headers.txt","curl: (2) no URL specified"
"health","/v1/health","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141610_277.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141610_277.headers.txt","curl: (2) no URL specified"
"health","/v1/health","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141610_496.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run1__20260204_141610_496.headers.txt","curl: (2) no URL specified"
"health","/v1/health","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141610_711.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\health____run2__20260204_141610_711.headers.txt","curl: (2) no URL specified"
